k,alpha,beta,size,edge_num,ngil,nsil,num_of_clusters,time,method,seed
8,1.0,0.0,300,6084,0.2753,0.0218,37,78.8895,Normalized_Certainty_Penalty,4
8,1.0,0.0,500,36254,0.2264,0.0192,62,682.1853,Normalized_Certainty_Penalty,4
8,1.0,0.5,100,362,0.4611,0.0833,12,3.5497,Normalized_Certainty_Penalty,4
8,1.0,0.5,300,6084,0.3014,0.0291,37,77.8579,Normalized_Certainty_Penalty,4
8,1.0,0.5,500,36254,0.2669,0.0109,62,680.5047,Normalized_Certainty_Penalty,4
8,0.5,1.0,100,362,0.4827,0.0848,12,3.5474,Normalized_Certainty_Penalty,4
8,0.5,1.0,300,6084,0.371,0.0113,37,74.7433,Normalized_Certainty_Penalty,4
8,0.5,1.0,500,36254,0.341,0.0006,62,632.2377,Normalized_Certainty_Penalty,4
8,0.5,0.5,100,362,0.4606,0.0825,12,3.5676,Normalized_Certainty_Penalty,4
8,0.5,0.5,300,6084,0.328,0.0301,37,77.8824,Normalized_Certainty_Penalty,4
8,0.5,0.5,500,36254,0.3083,0.0105,62,665.7606,Normalized_Certainty_Penalty,4
8,1.0,1.0,100,362,0.4606,0.0825,12,3.5062,Normalized_Certainty_Penalty,4
8,1.0,1.0,300,6084,0.328,0.0301,37,78.0251,Normalized_Certainty_Penalty,4
8,1.0,1.0,500,36254,0.3083,0.0105,62,664.6055,Normalized_Certainty_Penalty,4
10,1.0,0.0,100,362,0.3895,0.1367,10,2.6113,Normalized_Certainty_Penalty,4
10,1.0,0.0,300,6084,0.2843,0.0451,30,71.4663,Normalized_Certainty_Penalty,4
10,1.0,0.0,500,36254,0.2457,0.0361,50,705.7879,Normalized_Certainty_Penalty,4
10,1.0,0.5,100,362,0.4165,0.1377,10,2.6401,Normalized_Certainty_Penalty,4
10,1.0,0.5,300,6084,0.3015,0.0571,30,76.7362,Normalized_Certainty_Penalty,4
10,1.0,0.5,500,36254,0.2824,0.0297,50,868.4934,Normalized_Certainty_Penalty,4
10,0.5,1.0,100,362,0.412,0.1344,10,2.5965,Normalized_Certainty_Penalty,4
10,0.5,1.0,300,6084,0.3584,0.0309,30,72.9126,Normalized_Certainty_Penalty,4
10,0.5,1.0,500,36254,0.3681,0.0006,50,691.8783,Normalized_Certainty_Penalty,4
10,0.5,0.5,100,362,0.4263,0.1366,10,2.6415,Normalized_Certainty_Penalty,4
10,0.5,0.5,300,6084,0.3208,0.0591,30,78.7175,Normalized_Certainty_Penalty,4
10,0.5,0.5,500,36254,0.3297,0.0191,50,697.8965,Normalized_Certainty_Penalty,4
10,1.0,1.0,100,362,0.4263,0.1366,10,2.7585,Normalized_Certainty_Penalty,4
10,1.0,1.0,300,6084,0.3208,0.0591,30,80.6815,Normalized_Certainty_Penalty,4
10,1.0,1.0,500,36254,0.3297,0.0191,50,809.4525,Normalized_Certainty_Penalty,4
2,1.0,0.0,100,362,0.0858,0.0,50,2.8602,SaNGreeA,4
2,1.0,0.0,300,6084,0.0617,0.0001,150,24.9686,SaNGreeA,4
2,1.0,0.0,500,36254,0.0507,0.0,250,127.8684,SaNGreeA,4
2,1.0,0.5,100,362,0.1153,0.0,50,1.8089,SaNGreeA,4
2,1.0,0.5,300,6084,0.1248,0.0,150,22.6414,SaNGreeA,4
2,1.0,0.5,500,36254,0.1545,0.0,250,112.3513,SaNGreeA,4
2,0.5,1.0,100,362,0.1382,0.0,50,2.0241,SaNGreeA,4
2,0.5,1.0,300,6084,0.1572,0.0,150,23.1937,SaNGreeA,4
2,0.5,1.0,500,36254,0.1834,0.0,250,112.6868,SaNGreeA,4
2,0.5,0.5,100,362,0.1382,0.0,50,1.9127,SaNGreeA,4
2,0.5,0.5,300,6084,0.1432,0.0,150,22.815,SaNGreeA,4
2,0.5,0.5,500,36254,0.1763,0.0,250,113.188,SaNGreeA,4
2,1.0,1.0,100,362,0.1382,0.0,50,1.868,SaNGreeA,4
2,1.0,1.0,300,6084,0.1432,0.0,150,22.7615,SaNGreeA,4
2,1.0,1.0,500,36254,0.1763,0.0,250,113.4037,SaNGreeA,4
4,1.0,0.0,100,362,0.2041,0.0106,25,2.9186,SaNGreeA,4
4,1.0,0.0,300,6084,0.1458,0.002,75,42.4575,SaNGreeA,4
4,1.0,0.0,500,36254,0.1178,0.0026,125,262.6901,SaNGreeA,4
4,1.0,0.5,100,362,0.2405,0.0112,25,2.9389,SaNGreeA,4
4,1.0,0.5,300,6084,0.2474,0.0006,75,40.9067,SaNGreeA,4
4,1.0,0.5,500,36254,0.2877,0.0001,125,250.0274,SaNGreeA,4
4,0.5,1.0,100,362,0.2978,0.0072,25,2.9466,SaNGreeA,4
4,0.5,1.0,300,6084,0.3114,0.0005,75,41.3717,SaNGreeA,4
4,0.5,1.0,500,36254,0.3425,0.0001,125,250.438,SaNGreeA,4
